row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
34217,-2.228252,30.231671999999996,09/30/2019,y,Piped Water,Tapstand,Improved,Rwanda,2019.0,WaterAid,,
33761,-2.101375,30.189358000000002,02/19/2020,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2019.0,WaterAid,,
33466,-2.1986939999999997,30.199084000000003,04/28/2020,y,Protected Spring,,Improved,Rwanda,2019.0,WaterAid,,
33756,-2.205361,30.070403000000002,02/20/2020,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2020.0,WaterAid,,
33553,-2.432178,29.588362,03/31/2020,y,Piped Water,Tapstand,Improved,Rwanda,2020.0,WaterAid,,
33760,-2.274193,29.476523999999998,02/19/2020,y,Rainwater Harvesting,,Improved,Rwanda,2019.0,WaterAid,,
34222,-2.109683,30.067292,09/30/2019,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2019.0,WaterAid,,
34221,-2.159523,30.231496999999997,09/30/2019,y,Rainwater Harvesting,,Improved,Rwanda,2019.0,WaterAid,,
34215,-2.476687,29.446412,09/30/2019,y,Rainwater Harvesting,,Improved,Rwanda,2019.0,WaterAid,,
33759,-2.04987,30.158613,02/19/2020,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2019.0,WaterAid,,
33552,-2.432178,29.588362,03/31/2020,y,Piped Water,Tapstand,Improved,Rwanda,2020.0,WaterAid,,
34220,-2.199539,30.205523,09/30/2019,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2019.0,WaterAid,,
33554,-2.432178,29.588362,03/31/2020,y,Piped Water,Tapstand,Improved,Rwanda,2020.0,WaterAid,,
34216,-2.476526,29.446232000000002,09/30/2019,y,Rainwater Harvesting,,Improved,Rwanda,2019.0,WaterAid,,
34219,-2.346478,29.581792999999998,09/30/2019,y,Rainwater Harvesting,,Improved,Rwanda,2019.0,WaterAid,,
33562,-2.333309,30.051953,03/31/2020,y,Protected Spring,,Improved,Rwanda,2019.0,WaterAid,,
33551,-2.522253,29.472864,03/31/2020,y,Rainwater Harvesting,Hand Pump - Nira,Improved,Rwanda,2020.0,WaterAid,,
51082,-1.6406,30.390259000000004,08/14/2013,u,Borehole,Mechanized Pump,Improved,Rwanda,2013.0,World Vision,,
52123,-2.069,30.186,05/15/2014,u,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
51078,-1.548,30.39,08/26/2013,u,Borehole,Mechanized Pump,Improved,Rwanda,2013.0,World Vision,,
49553,-2.292667,29.99485,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
52099,-2.062,30.173879,07/05/2014,y,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
49602,-1.813536,30.444464,10/29/2013,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
52126,-2.079611,30.210109000000003,05/15/2014,y,Borehole,Hand Pump,Improved,Rwanda,2013.0,World Vision,,
49552,-2.318901,30.017003000000003,12/10/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
51079,-1.588125,30.434310999999997,08/14/2013,u,Borehole,Mechanized Pump,Improved,Rwanda,2013.0,World Vision,,
52124,-2.062,30.174,05/15/2014,y,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
52120,-1.7269999999999999,30.393,12/05/2014,y,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
49549,-2.135597,30.23495,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
49608,-1.787021,30.448734,10/29/2013,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
51080,-1.609688,30.394658000000003,08/14/2013,u,Borehole,Mechanized Pump,Improved,Rwanda,2013.0,World Vision,,
49551,-2.0846080000000002,30.20453,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
52125,-2.093,30.244,05/15/2014,y,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
52121,-1.699,30.365,05/15/2014,u,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
49609,-2.145696,30.244336999999998,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
49550,-2.107234,30.251365000000003,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
51081,-1.6104829999999999,30.355814000000002,08/14/2013,u,Borehole,Mechanized Pump,Improved,Rwanda,2013.0,World Vision,,
52122,-1.71,30.37,05/15/2014,u,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
52128,-1.673,30.392,05/15/2014,y,Borehole,Hand Pump,Improved,Rwanda,2014.0,World Vision,,
49554,-2.33544,30.056553000000005,10/23/2012,y,Borehole,Mechanized Pump,Improved,Rwanda,2012.0,World Vision,,
